,regime,prob_bear,prob_bull,log_return,downside_dev,regime_label
1992-02-28,1,2.9848101537476695e-05,0.9999701518984625,-0.023040787119542477,0.009654568531931225,Bull
1992-03-31,1,0.00020181709797660244,0.9997981829020234,0.0102646693085246,0.009654568531931225,Bull
1992-04-30,1,0.00926118757914148,0.9907388124208586,0.01176805772872933,0.01961741857926178,Bull
1992-05-29,1,0.010458926296440109,0.9895410737035599,-0.012419787688627802,0.007510180720578228,Bull
1992-06-30,1,4.87610583578048e-05,0.9999512389416423,0.04399185287130871,0.007510180720578228,Bull
1992-07-31,1,0.0002607839897196422,0.9997392160102804,-0.01637186457828142,0.0053681012862178724,Bull
1992-08-31,1,0.0009629114297033,0.9990370885702967,0.020322664963729364,0.0027945403684447112,Bull
1992-09-30,1,0.0008833271877618713,0.999116672812238,0.015466064197464454,0.0027945403684447112,Bull
1992-10-30,1,0.0008107504271988048,0.9991892495728012,0.03826458312116135,0.0027945403684447112,Bull
1992-11-30,1,0.0006812553171146791,0.9993187446828854,0.029483680962932097,0.010774903832506216,Bull
1992-12-31,1,2.7808943765194237e-10,0.9999999997219107,0.02187249729042086,0.009355708754459546,Bull
1993-01-29,1,2.2556624850177214e-10,0.9999999997744338,0.0117430388946225,0.004831380045556939,Bull
1993-02-26,1,2.0227976778479588e-10,0.9999999997977203,0.03038801626264706,0.005001087237611997,Bull
1993-03-31,1,2.0694204074356224e-10,0.999999999793058,-0.020319182369161047,0.010527423497435053,Bull
1993-04-30,1,1.806247229708759e-07,0.9999998193752769,0.021687297728945582,0.009467424673352773,Bull
1993-05-28,1,2.037858165007552e-07,0.9999997962141834,0.009933909074704685,0.008878266306245632,Bull
1993-06-30,1,4.722010293517357e-05,0.9999527798970649,0.009859352096184793,0.00858129537101931,Bull
1993-07-30,1,4.3276767444966826e-05,0.999956723232555,0.03867416299223443,0.01034771675449905,Bull
1993-08-31,1,0.0002275198124945571,0.9997724801875054,-0.0011350826791981714,0.013565206981731495,Bull
1993-09-30,1,0.00010450355063775107,0.9998954964493622,0.003914022269159451,0.007183992927814006,Bull
1993-10-29,1,0.00037385051695288193,0.9996261494830472,-0.025060872094889643,0.016918087941076763,Bull
1993-11-30,1,1.550651206050513e-06,0.999998449348794,0.02786771449880975,0.016918087941076763,Bull
1993-12-31,1,0.0012744639819048443,0.9987255360180952,0.02042926918778718,0.016918087941076763,Bull
1994-01-31,1,0.0012115883894045427,0.9987884116105955,-0.02163040601223031,0.012937476410502306,Bull
1994-02-28,1,7.064479442941754e-05,0.9999293552055706,-0.03774677934628349,0.00848958017982263,Bull
1994-03-31,1,8.698890168393137e-06,0.9999913011098316,0.012121471803894416,0.00848958017982263,Bull
1994-04-29,1,1.2098544132342608e-05,0.9999879014558677,0.002445512056621598,0.011395996872643052,Bull
1994-05-31,1,1.5286211352997677e-05,0.999984713788647,-0.02445887815411568,0.008605289673536241,Bull
1994-06-30,1,1.8276145182178554e-07,0.9999998172385482,0.03157108170105164,0.008605289673536241,Bull
1994-07-29,1,1.9821616875049865e-07,0.9999998017838313,0.04060877993199923,0.009395965040718669,Bull
1994-08-31,1,6.40219045914523e-07,0.999999359780954,-0.017840169079988123,0.00468013406901653,Bull
1994-09-30,1,8.619209270988465e-08,0.9999999138079073,0.006159572097968316,0.00468013406901653,Bull
1994-10-31,1,7.250858181630298e-07,0.999999274914182,-0.03764623801290826,0.010082940513798681,Bull
1994-11-30,1,3.373152542609419e-06,0.9999966268474574,0.013808619721311349,0.014005005651116039,Bull
1994-12-30,1,3.287024608578368e-06,0.9999967129753914,0.018053252386211693,0.014005005651116039,Bull
1995-01-31,1,1.8470385664193233e-05,0.9999815296143358,0.03965823927272815,0.014005005651116039,Bull
1995-02-28,1,8.932520461061708e-05,0.9999106747953894,0.022019408961926817,0.013014699999296046,Bull
1995-03-31,1,0.00015117870603934818,0.9998488212939607,0.023010992051295438,0.013197207632732367,Bull
1995-04-28,1,0.00010838723018629008,0.9998916127698138,0.028698613384953078,0.004533907195112451,Bull
1995-05-31,1,0.00023416274575412157,0.999765837254246,0.025464844913224413,0.003754396531423205,Bull
1995-06-30,1,0.0006611293027705854,0.9993388706972295,0.03547577413280276,0.003554580292316354,Bull
1995-07-31,1,0.0001425660544427993,0.9998574339455572,0.010712063194234194,0.004105289828449645,Bull
1995-08-31,1,0.00022154663980537004,0.9997784533601947,0.025996910178956067,0.00407838416679084,Bull
1995-09-29,1,0.00047994789543175516,0.9995200521045683,-0.020410173424296612,0.01016681936214203,Bull
1995-10-31,1,0.002477499277228722,0.9975225007227714,0.04965486534867362,0.012033420362332823,Bull
1995-11-30,1,0.002205411298999399,0.9977945887010006,0.016541786399365974,0.012011233691237145,Bull
1995-12-29,1,0.0020642981495853844,0.9979357018504146,0.020597090167924385,0.011400205973379825,Bull
1996-01-31,1,0.0029960857119874077,0.9970039142880125,0.014641063096861265,0.011316617544751092,Bull
1996-02-29,1,0.006939414742157723,0.9930605852578422,0.013234264696278468,0.01115519659588838,Bull
1996-03-29,1,0.00649266636700743,0.9935073336329926,0.018656347838831355,0.0068499310875431265,Bull
1996-04-30,1,0.0005132167793566043,0.9994867832206433,0.01516691327450423,0.0013662196151934753,Bull
1996-05-31,1,0.0013112682360565178,0.9986887317639435,-0.007000639810748444,0.0049797572990234575,Bull
1996-06-28,0,0.5406208513103179,0.45937914868968227,-0.054756214206218595,0.033768290494495604,Bear
1996-07-31,0,0.6835583757825363,0.31644162421746375,0.03941688288056431,0.033768290494495604,Bear
1996-08-30,0,0.8451344565675135,0.1548655434324865,0.044726917046224224,0.033768290494495604,Bear
1996-09-30,0,0.9131737289576665,0.08682627104233351,0.014247252865831882,0.033768290494495604,Bear
1996-10-31,0,0.7666801471157422,0.2333198528842577,0.05509601933909461,0.033768290494495604,Bear
1996-11-29,0,0.8969873757281291,0.10301262427187083,-0.0008338230120548093,0.03812888847118699,Bear
1996-12-31,1,0.005167806269214408,0.9948321937307857,0.028856938165145868,0.010332400782905465,Bull
1997-01-31,1,0.00026282882773161843,0.9997371711722683,0.01549429547628113,0.010424895036405622,Bull
1997-02-28,1,0.010912601005527779,0.9890873989944722,-0.04024571506695179,0.027868416131409873,Bull
1997-03-31,1,0.0008658742456880344,0.999134125754312,0.02250432251958624,0.027868416131409873,Bull
1997-04-30,1,0.006489988793827328,0.9935100112061727,0.07121764016321334,0.027868416131409873,Bull
1997-05-30,1,0.000608108540094258,0.9993918914599057,0.04388218269785215,0.018506239855232566,Bull
1997-06-30,1,8.96423909882273e-05,0.9999103576090118,0.0615918835114711,0.020106682176747433,Bull
1997-07-31,1,0.00010444567270367207,0.9998955543272964,-0.021286672181723584,0.013406067788951433,Bull
1997-08-29,1,2.252017658513451e-06,0.9999977479823415,0.054111632404694326,0.016891572086471598,Bull
1997-09-30,1,2.5563164523350448e-05,0.9999744368354766,-0.0372745626951112,0.011305145798884458,Bull
1997-10-31,1,2.0042086494037045e-06,0.9999979957913506,0.026880634807887525,0.011305145798884458,Bull
1997-11-28,1,2.0146525735882578e-06,0.9999979853474265,0.02967219648109684,0.011305145798884458,Bull
1997-12-31,1,2.365674237825832e-05,0.9999763432576217,-0.00851256434151154,0.014410893006529852,Bull
1998-01-30,1,4.974862193592865e-05,0.999950251378064,0.07641041771027367,0.020337804076306636,Bull
1998-02-27,1,2.9101800960003615e-05,0.99997089819904,0.044344368127726484,0.020337804076306636,Bull
1998-03-31,1,4.223647663423048e-06,0.9999957763523365,-0.0073689125376841715,0.0008086839458025592,Bull
1998-04-30,1,7.844184014605401e-05,0.999921558159854,-0.029769098097508998,0.0126155755575059,Bull
1998-05-29,1,2.960286642083232e-05,0.9999703971335792,0.005446953324187681,0.0126155755575059,Bull
1998-06-30,1,0.003062759181454394,0.9969372408185456,-0.0543664394247061,0.023507321721035385,Bull
1998-07-31,0,0.9999999996908857,3.0911427753295354e-10,-0.16686120607858618,0.07083000502442513,Bear
1998-08-31,0,0.9999998900455355,1.0995446454881793e-07,0.05496028843971071,0.07083000502442513,Bear
