,HRP_60m
1979-04-30,-0.010245067039982514
1979-05-31,0.03506597467533079
1979-06-29,0.010362765269938734
1979-07-31,0.050146557525992064
1979-08-31,-0.009892302450716706
1979-09-28,-0.06045912041731727
1979-10-31,0.04747597027992567
1979-11-30,0.01153311901552656
1979-12-31,0.038760413525557036
1980-01-31,-0.009055737993411639
1980-02-29,-0.06921359895108914
1980-03-31,0.05451357511251276
1980-04-30,0.0578668805340099
1980-05-30,0.018835301659732018
1980-06-30,0.055141110140612515
1980-07-31,0.01686727312888503
1980-08-29,0.010078157374501462
1980-09-30,0.0018875139353142778
1980-10-31,0.06819867498977028
1980-11-28,-0.010347217212234638
1980-12-31,-0.00832237332387531
1981-01-30,0.023779768349697195
1981-02-27,0.03529243042543384
1981-03-31,0.011612217504460176
