,hrp_turnover,rf_rate,hrp_return,predicted_regime,prob_bull,actual_regime,financing_spread,allocation_binary,regime_binary_return,allocation_prob,regime_prob_return,allocation_prob_scaled,regime_prob_scaled_return,prob_scale_factor,inner_cost_stage1,outer_cost_stage2,turnover_NoDur,turnover_Durbl,turnover_Manuf,turnover_Enrgy,turnover_Chems,turnover_BusEq,turnover_Telcm,turnover_Utils,turnover_Shops,turnover_Hlth,turnover_Money,turnover_Other,inner_cost,outer_cost_buyhold,financing_cost_buyhold,hrp_return_net,outer_cost_binary,financing_cost_binary,regime_binary_return_net,outer_cost_prob,financing_cost_prob,regime_prob_return_net,outer_cost_scaled,financing_cost_scaled,regime_prob_scaled_return_net
1990-01-31,0.07969633,0.005699999999999999,0.0163132406366792,1,0.77921873,0,0.0004166666666666667,1.0,0.0163132406366792,0.77921873,0.013970035925234808,1.171411,0.018132467224866538,1.5033147,7.810316624243304e-05,7.969633e-05,0.07464750856161118,0.05460457131266594,0.06809300184249878,0.0390675887465477,0.07037358731031418,0.10919801890850067,0.03830622509121895,0.09935002774000168,0.08084739744663239,0.09193098545074463,0.08990836888551712,0.19491830468177795,0.0001577994948544775,0.0,0.0,0.01615544114182472,0.0,0.0,0.01615544114182472,0.000121672514,0.0,0.013725403088667874,0.00018291212,7.1421266e-05,0.017693285771836275
1990-02-28,0.012795646,0.005699999999999999,0.0208883819865297,1,0.8338946,0,0.0004166666666666667,1.0,0.0208883819865297,0.8338946,0.01836550987933902,1.2536061,0.024740248018999836,1.5033147,6.321749260747417e-05,1.2795646e-05,0.06262153387069702,0.046053674072027206,0.060674864798784256,0.0334685817360878,0.04921382665634155,0.08729342371225357,0.056349977850914,0.06815983355045319,0.06367195397615433,0.08430933207273483,0.07568490505218506,0.10566587746143341,7.601313900591883e-05,0.0,0.0,0.02081236884752378,0.0,0.0,0.02081236884752378,0.00010935176,0.0,0.018192771175710554,0.00016439009,0.000105669205,0.02437489818983368
1990-03-31,0.14178365,0.0064,-0.0282630193764663,1,0.7736548,0,0.0004166666666666667,1.0,-0.0282630193764663,0.7736548,-0.020417211965570062,1.1630467,-0.033914710909420415,1.5033147,5.465595158983745e-05,0.00014178366,0.049699101597070694,0.05336712300777435,0.05797005817294121,0.029876692220568657,0.0650486871600151,0.07084860652685165,0.025023160502314568,0.059842757880687714,0.0746460035443306,0.054020918905735016,0.08363223820924759,0.07450356334447861,0.00019643961268246896,0.0,0.0,-0.02845945898914877,0.0,0.0,-0.02845945898914877,0.00012047959,0.0,-0.020689668010187658,0.00018111874,6.793613e-05,-0.034392234228422205
1990-04-30,0.10833751,0.0069,0.090183247247437,1,0.77874047,0,0.0004166666666666667,1.0,0.090183247247437,0.77874047,0.07175603474156543,1.170692,0.10439902853912367,1.5033147,6.203817058318155e-05,0.00010833751,0.04429116100072861,0.03311778977513313,0.0600326731801033,0.042900580912828445,0.042286891490221024,0.09962087869644165,0.056061238050460815,0.08259925246238708,0.06492766737937927,0.05800789222121239,0.0752333551645279,0.08104376494884491,0.00017037568061110424,0.0,0.0,0.09001287156682589,0.0,0.0,0.09001287156682589,1.0171295e-05,0.0,0.07161318500982343,1.52905e-05,7.1121656e-05,0.10411315894273405
1990-05-31,0.09888744,0.0068000000000000005,-0.0078918573626648,1,0.713739,1,0.0004166666666666667,1.0,-0.0078918573626648,0.713739,-0.0036861512576144857,1.0729743,-0.00896398572533562,1.5033147,6.222229899010591e-05,9.8887445e-05,0.07236393541097641,0.03741901367902756,0.06180008500814438,0.03024248033761978,0.06109900772571564,0.09852676838636398,0.05158604308962822,0.08185369521379471,0.07354944199323654,0.05302086099982262,0.06624745577573776,0.0863242894411087,0.00016110974433702387,0.0,0.0,-0.008052967107001823,0.0,0.0,-0.008052967107001823,0.00013000298,0.0,-0.003931144545365312,0.00019543529,3.0405969e-05,-0.009362693604936181
1990-06-30,0.010128081,0.0063,-0.0013446832799929,1,0.6339063,0,0.0004166666666666667,1.0,-0.0013446832799929,0.6339063,0.00145398707033606,0.95296067,-0.0009850825003966716,1.5033147,5.995762673824248e-05,1.0128081e-05,0.07620959728956223,0.035508282482624054,0.07984829694032669,0.039770111441612244,0.04411686211824417,0.06892255693674088,0.03998105600476265,0.07963363826274872,0.07565533369779587,0.04820144549012184,0.0746263638138771,0.08470801264047623,7.008570789598782e-05,0.0,0.0,-0.0014147689878888877,0.0,0.0,-0.0014147689878888877,0.00015966536,0.0,0.0012498939381064115,0.00024002732,0.0,-0.0012918987459841495
1990-07-31,0.09519482,0.0068000000000000005,-0.0879180173426987,0,0.4962513,0,0.0004166666666666667,0.5,-0.04055900867134935,0.4962513,-0.04020394085165116,0.7460219,-0.06386171776307718,1.5033147,6.35900306610824e-05,9.5194824e-05,0.06004475802183151,0.028216900303959846,0.08125931024551392,0.040711674839258194,0.06869197636842728,0.09114360809326172,0.07219251245260239,0.05993901938199997,0.07025351375341415,0.054225824773311615,0.08692475408315659,0.09316588938236237,0.00015878485475922613,0.0,0.0,-0.08807680219745793,0.001,0.0,-0.04163840109872897,0.00027530998,0.0,-0.04055804802801629,0.0004138775,0.0,-0.06439405225747247
1990-08-31,0.13026792,0.0066,-0.0449892855092283,0,0.3661532,0,0.0004166666666666667,0.5,-0.01919464275461415,0.3661532,-0.01228958270822066,0.55044353,-0.021796988430144045,1.5033147,6.565968423426471e-05,0.00013026793,0.0595993772149086,0.044274453073740005,0.09682813286781311,0.046192750334739685,0.042261820286512375,0.08918578177690506,0.05954485014081001,0.07350918650627136,0.07595666497945786,0.0546349361538887,0.10145364701747894,0.08170346915721893,0.00019592761445135198,0.0,0.0,-0.04518521312367965,0.0,0.0,-0.019292606561839825,0.00026019622,0.0,-0.01262151845199108,0.00039115682,0.0,-0.022295992337998033
1990-09-30,0.041016486,0.006,-0.0019016440782767,0,0.47315317,0,0.0004166666666666667,0.5,0.00204917796086165,0.47315317,0.0022613120251496104,0.7112981,0.0003795755162351738,1.5033147,6.613394348660027e-05,4.1016487e-05,0.0575985312461853,0.039328545331954956,0.09172658622264862,0.04426419734954834,0.04208734259009361,0.10594552755355835,0.038553155958652496,0.07394123077392578,0.07115334272384644,0.056124649941921234,0.11512383818626404,0.10936795175075531,0.00010715043013460478,0.0,0.0,-0.0020087945084113048,0.0,0.0,0.0019956027457943477,0.00021399994,0.0,0.00199661351756474,0.00032170917,0.0,-1.8349554569119925e-05
1990-10-31,0.057555195,0.0068000000000000005,0.0594103590582497,1,0.5366382,0,0.0004166666666666667,1.0,0.0594103590582497,0.5366382,0.03503272840126421,0.8067361,0.04924267649868555,1.5033147,8.85487339314163e-05,5.7555197e-05,0.07339193671941757,0.056057196110486984,0.11454558372497559,0.06660619378089905,0.05227816477417946,0.14526338875293732,0.06916256248950958,0.11309102922677994,0.08561555296182632,0.05944192409515381,0.11005856096744537,0.14074665307998657,0.00014610393062178942,0.0,0.0,0.05926425512762791,0.001,0.0,0.05826425512762791,0.00012697006,0.0,0.03482735339210834,0.00019087602,0.0,0.04893393316494131
1990-11-30,0.054291256,0.005699999999999999,0.0222378053633232,1,0.50279516,0,0.0004166666666666667,1.0,0.0222378053633232,0.50279516,0.014015128490670261,0.7558594,0.018200255225793122,1.5033147,8.105368387429336e-05,5.4291257e-05,0.07828329503536224,0.049909450113773346,0.12503400444984436,0.06316220015287399,0.06576680392026901,0.11132019758224487,0.09218425303697586,0.06131737679243088,0.07338175177574158,0.055256180465221405,0.1512134075164795,0.13338163495063782,0.0001353449405486259,0.0,0.0,0.022102460422774573,0.0,0.0,0.022102460422774573,6.768609e-05,0.0,0.013879391622379476,0.00010175348,0.0,0.017996200002189693
1990-12-31,0.023842152,0.006,0.0385753253016876,1,0.53092575,0,0.0004166666666666667,1.0,0.0385753253016876,0.53092575,0.023295079041151346,0.7981485,0.03199994744483001,1.5033147,5.525079262849028e-05,2.3842153e-05,0.05868837982416153,0.03578450530767441,0.06906218826770782,0.05342285335063934,0.052024275064468384,0.07310643792152405,0.04368099197745323,0.04032210260629654,0.07193896919488907,0.04517452046275139,0.07419810444116592,0.11139615625143051,7.909294521492991e-05,0.0,0.0,0.03849623235647267,0.0,0.0,0.03849623235647267,5.6261186e-05,0.0,0.023196825374016888,8.457828e-05,0.0,0.03185224125033812
1991-01-31,0.064808115,0.0052,0.0706075372125245,1,0.5178828,0,0.0004166666666666667,1.0,0.0706075372125245,0.5178828,0.039073440078850455,0.77854085,0.05612243959728583,1.5033147,6.879724146106705e-05,6.480812e-05,0.04963288456201553,0.046582043170928955,0.07469277828931808,0.053792305290699005,0.06419823318719864,0.09078001976013184,0.07178591191768646,0.06779202073812485,0.07901465892791748,0.06674235314130783,0.07968313992023468,0.13063578307628632,0.0001336053600838171,0.0,0.0,0.07047393185244068,0.0,0.0,0.07047393185244068,2.6085854e-05,0.0,0.03897816230348834,3.9215327e-05,0.0,0.05597920703974502
1991-02-28,0.04856146,0.0048,0.0222521039479131,1,0.50458586,0,0.0004166666666666667,1.0,0.0222521039479131,0.50458586,0.013606084917058942,0.75855136,0.018038317170181416,1.5033147,6.76701346001581e-05,4.8561462e-05,0.06867964565753937,0.0631350576877594,0.07965001463890076,0.04920371249318123,0.05688169226050377,0.09563645720481873,0.052822623401880264,0.06932276487350464,0.07551312446594238,0.06602142006158829,0.07660333067178726,0.10897529125213623,0.00011623159648119403,0.0,0.0,0.022135872351431905,0.0,0.0,0.022135872351431905,2.6593925e-05,0.0,0.013520842171525185,3.9978982e-05,0.0,0.01791017055230539
1991-03-31,0.023514789,0.0044,0.0015465931239451,1,0.59445965,1,0.0004166666666666667,1.0,0.0015465931239451,0.59445965,0.0027037647388759457,0.89365995,0.0018500245558048785,1.5033147,6.545876279452143e-05,2.3514789e-05,0.07279710471630096,0.06335578113794327,0.07513844966888428,0.06437788903713226,0.03798814117908478,0.08361487090587616,0.06713256984949112,0.043590448796749115,0.06251947581768036,0.07367704808712006,0.08279743790626526,0.08912421017885208,8.897355185800491e-05,0.0,0.0,0.0014576195720870952,0.0,0.0,0.0014576195720870952,0.00017974759,0.0,0.00247112596691387,0.0002702172,0.0,0.001500295264534229
1991-04-30,0.02930072,0.0053,0.0308045008481976,1,0.7423867,1,0.0004166666666666667,1.0,0.0308045008481976,0.7423867,0.02423420218726727,1.1160408,0.03376406418935663,1.5033147,8.344296750876255e-05,2.9300722e-05,0.05422178655862808,0.035631220787763596,0.06502684205770493,0.053284771740436554,0.08744790405035019,0.09618872404098511,0.11649518460035324,0.0917675644159317,0.06915430724620819,0.09888818860054016,0.1526040881872177,0.08505382388830185,0.00011274368901651486,0.0,0.0,0.030691757159181085,0.0,0.0,0.030691757159181085,0.00029585412,0.0,0.023854648656783453,0.00044476177,4.8350346e-05,0.03314512551477598
1991-05-31,0.3417993,0.004699999999999999,-0.0415169964420433,1,0.66895217,1,0.0004166666666666667,1.0,-0.0415169964420433,0.66895217,-0.026216959923714426,1.0056456,-0.04177792063047823,1.5033147,5.967892706370167e-05,0.0003417993,0.04836476966738701,0.061306580901145935,0.0734577625989914,0.04158622771501541,0.05709340050816536,0.08058378845453262,0.0409187376499176,0.06305066496133804,0.0766192153096199,0.06159866228699684,0.08835458755493164,0.07089708000421524,0.0004014782409646939,0.0,0.0,-0.041918474683007995,0.0,0.0,-0.041918474683007995,0.00014686908,0.0,-0.02663239873827656,0.0002207904,2.352347e-06,-0.04240480822080187
1991-06-30,0.08321394,0.0042,0.0452264056011664,1,0.8139589,1,0.0004166666666666667,1.0,0.0452264056011664,0.8139589,0.03759380728834431,1.2236364,0.05440140279438093,1.5033147,5.822237717853581e-05,8.321394e-05,0.04667764902114868,0.044447943568229675,0.06608044356107712,0.0491495244204998,0.02749190852046013,0.0773036777973175,0.047270070761442184,0.06762274354696274,0.08584504574537277,0.06344255059957504,0.08398594707250595,0.07135806977748871,0.00014143631843086056,0.0,0.0,0.04508496928273554,0.0,0.0,0.04508496928273554,0.00029001344,0.0,0.03718867049825667,0.00043598152,9.318183e-05,0.05369917281874317
1991-07-31,0.026111983,0.0049,0.0219489858050623,1,0.77392167,1,0.0004166666666666667,1.0,0.0219489858050623,0.77392167,0.018094579540989756,1.1634479,0.024735605997270697,1.5033147,6.021906670853434e-05,2.6111984e-05,0.04950167238712311,0.03246842324733734,0.06995357573032379,0.0661003515124321,0.0364374965429306,0.0907791256904602,0.04609808325767517,0.05178789421916008,0.07184982299804688,0.06150400638580322,0.09443607181310654,0.081659235060215,8.633105067915687e-05,0.0,0.0,0.02186265475438314,0.0,0.0,0.02186265475438314,8.007443e-05,0.0,0.017947691639176814,0.000120377066,6.8103276e-05,0.024446683979042965
1991-08-31,0.13466024,0.0046,-0.0059233179781154,1,0.8362977,1,0.0004166666666666667,1.0,-0.0059233179781154,0.8362977,-0.004200626525371594,1.2572186,-0.008630111088639515,1.5033147,5.775465334856407e-05,0.00013466025,0.05017177760601044,0.03454170003533363,0.06564684957265854,0.032285429537296295,0.05654888600111008,0.08528386056423187,0.046546608209609985,0.060383569449186325,0.07406874001026154,0.06000705063343048,0.0753718763589859,0.08470810204744339,0.00019241490455435115,0.0,0.0,-0.006115732882669751,0.0,0.0,-0.006115732882669751,0.00012475206,0.0,-0.004486294721592662,0.00018754149,0.00010717442,-0.009166734593671119
1991-09-30,0.11273499,0.0046,0.0183719444622882,1,0.91795075,1,0.0004166666666666667,1.0,0.0183719444622882,0.91795075,0.017241966739815144,1.3799689,0.02360485479717833,1.5033147,6.444291525386859e-05,0.000112735,0.07886330783367157,0.061373911798000336,0.07437244802713394,0.04501093178987503,0.05261194705963135,0.15405462682247162,0.04153570905327797,0.05013471096754074,0.08284633606672287,0.0655570775270462,0.07542683184146881,0.0855245441198349,0.00017717791220039713,0.0,0.0,0.018194766550087803,0.0,0.0,0.018194766550087803,0.00016330612,0.0,0.016916020024195774,0.0002455006,0.00015832037,0.022956533832797436
